League_Name,Center_Name,YearbookAbbrev,BowlingYear,Season
Monday Bowling League,Academy Lanes,AL,2012,W
OW League,Academy Lanes,AL,2012,W
Friday Senior Social,Bear Creek Lanes,BE,2012,W
Hammer Classic,Bear Creek Lanes,BE,2012,W
Pioneer Open,Bear Creek Lanes,BE,2012,W
Put Together,Bear Creek Lanes,BE,2012,W
Tuesday Seniors,Bear Creek Lanes,BE,2012,W
Ute Pass Hillbowlies,Bear Creek Lanes,BE,2012,W
A M I Pinheads,Brunswick Zone Circle,BC,2012,W
Circle 48's,Brunswick Zone Circle,BC,2012,W
Circle Downers,Brunswick Zone Circle,BC,2012,W
Circle Mixers,Brunswick Zone Circle,BC,2012,W
Craftsman,Brunswick Zone Circle,BC,2012,W
CSBS Mixed Classic,Brunswick Zone Circle,BC,2012,W
El Paso County,Brunswick Zone Circle,BC,2012,W
El Paso County #2,Brunswick Zone Circle,BC,2012,W
Friday Mixed,Brunswick Zone Circle,BC,2012,W
Friday Senior Mixed,Brunswick Zone Circle,BC,2012,W
Goofballs Mixed,Brunswick Zone Circle,BC,2012,W
Miller Funtime Vegas,Brunswick Zone Circle,BC,2012,W
Mixed All Stars,Brunswick Zone Circle,BC,2012,W
Monday Nighters Draft,Brunswick Zone Circle,BC,2012,W
Monday Senior Mixed,Brunswick Zone Circle,BC,2012,W
Senior Morning Special,Brunswick Zone Circle,BC,2012,W
Star Bowlers,Brunswick Zone Circle,BC,2012,W
Tuesday Tumblers,Brunswick Zone Circle,BC,2012,W
Untouchables,Brunswick Zone Circle,BC,2012,W
Wednesday Club 50 Plus,Brunswick Zone Circle,BC,2012,W
Club 50+,Brunswick Zone XL,BX,2012,W
Family Tyme,Brunswick Zone XL,BX,2012,W
Hump Day Mixers,Brunswick Zone XL,BX,2012,W
Interquest Classic,Brunswick Zone XL,BX,2012,W
Men's Majors,Brunswick Zone XL,BX,2012,W
Monday Night Keglers,Brunswick Zone XL,BX,2012,W
Pin Ups,Brunswick Zone XL,BX,2012,W
TGIF,Brunswick Zone XL,BX,2012,W
TGIF Spring,Brunswick Zone XL,BX,2012,W
Fort Carson Owls,Fort Carson Lanes,FC,2012,W
Friday Night Mixed Early,Fort Carson Lanes,FC,2012,W
Saturday Adult/Youth,Fort Carson Lanes,FC,2012,W
Saturday Adult/Youth #2,Fort Carson Lanes,FC,2012,W
Thursday Night Trio,Fort Carson Lanes,FC,2012,W
Tournament Prep League,Fort Carson Lanes,FC,2012,W
Tournament Prep League Spring 2013,Fort Carson Lanes,FC,2012,W
Wednesday Friendship League,Fort Carson Lanes,FC,2012,W
Security Business Mixed,Fountain Valley Bowl,VB,2012,W
Sunday Sundowners,Fountain Valley Bowl,VB,2012,W
Thursday Morning Senior Mixed,Fountain Valley Bowl,VB,2012,W
Twilight Mixed,Fountain Valley Bowl,VB,2012,W
